step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.583279446586666,0,0.0,0.9533425879026792,0,0.0
10.0,0,0.0,0.0,12.526412825588906,0,0.0,0.9494233729404259,0,0.0
15.0,2,4.0,0.25,6.977209564201134,2,4.0,0.34624904420095626,2,4.0
20.0,6,28.0,1.75,7.442614236394483,6,28.0,0.366678033240196,6,28.0
25.0,8,60.0,3.3333333333333335,7.476235678721571,8,60.0,0.3199468110986999,8,60.0
30.0,4,44.0,2.75,7.775696708352394,4,66.0,0.4145523361245115,4,66.0
35.0,5,65.0,4.333333333333333,6.871230501580873,5,65.0,0.30090779092465675,5,65.0
40.0,6,95.0,4.75,8.353200626551535,6,95.0,0.5350832269214163,6,95.0
45.0,7,127.0,7.055555555555555,7.4142653396021085,7,127.0,0.4698360119078483,7,127.0
50.0,4,74.0,3.7,5.0080268254457465,4,110.0,0.28642988709074546,4,110.0
55.0,8,112.0,5.6,7.273450604699706,8,112.0,0.370174740526242,8,112.0
60.0,5,112.0,5.6,7.195502638201792,5,128.0,0.29940207137026953,5,128.0
65.0,7,144.0,7.2,7.048238861647645,7,144.0,0.29554281460790977,7,144.0
70.0,9,189.0,11.8125,5.540438673873536,9,189.0,0.25932977001746293,9,189.0
75.0,8,201.0,8.73913043478261,6.32246265862512,8,209.0,0.4632022389957823,8,209.0
80.0,8,241.0,10.478260869565217,8.279994225463284,8,241.0,0.524012985893821,8,241.0
85.0,9,282.0,10.444444444444445,6.633531667360216,9,282.0,0.32633512916785545,9,282.0
90.0,12,341.0,14.826086956521738,4.783081509033978,12,341.0,0.23900618469026716,12,341.0
95.0,12,401.0,16.708333333333332,4.964645907744585,12,401.0,0.1925278793557041,12,401.0
100.0,14,467.0,19.458333333333332,4.715060351119674,14,467.0,0.2149657306401947,14,467.0
105.0,14,537.0,24.40909090909091,4.5227097050467115,14,537.0,0.1697267766820551,14,537.0
110.0,16,613.0,21.892857142857142,5.707105681294515,16,613.0,0.303834923492822,16,613.0
115.0,16,693.0,24.75,4.756594367735088,16,693.0,0.2841619341130157,16,693.0
120.0,18,776.0,29.846153846153847,3.050828971140786,18,776.0,0.1938026504234485,18,776.0
125.0,21,872.0,29.066666666666666,3.73183478780315,21,872.0,0.1516235653173797,21,872.0
130.0,18,956.0,31.866666666666667,3.5932322097294143,18,963.0,0.10187366179684033,18,963.0
135.0,20,1055.0,34.03225806451613,4.297785302437904,20,1055.0,0.1979124374143152,20,1055.0
